YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 11 08 21 322  6.8  8.9 99.00 99.00 99.00 999 1018.8   8.6  11.6 999.0 99.0 99.00
2004 11 08 22 317  5.3  7.8 99.00 99.00 99.00 999 1020.1   8.0  11.6 999.0 99.0 99.00
2004 11 08 23 314  5.3  9.0 99.00 99.00 99.00 999 1021.2   7.3  11.5 999.0 99.0 99.00
2004 11 09 00 323  6.6 12.0 99.00 99.00 99.00 999 1021.9   6.3  11.3 999.0 99.0 99.00
2004 11 09 01 326  8.2 11.8 99.00 99.00 99.00 999 1022.6   5.2  11.1 999.0 99.0 99.00
2004 11 09 02 323  6.2 10.5 99.00 99.00 99.00 999 1023.5   4.3  11.3 999.0 99.0 99.00
2004 11 09 04 358  6.5 10.1 99.00 99.00 99.00 999 1024.1   3.0  11.3 999.0 99.0 99.00
2004 11 09 05 350  7.9 10.4 99.00 99.00 99.00 999 1024.3   2.4  11.2 999.0 99.0 99.00
2004 11 09 06 354  5.3  9.0 99.00 99.00 99.00 999 1024.5   2.0  11.2 999.0 99.0 99.00
2004 11 09 07 351  5.1  8.0 99.00 99.00 99.00 999 1025.3   1.5  10.8 999.0 99.0 99.00
2004 11 09 08 349  5.6  7.6 99.00 99.00 99.00 999 1025.7   1.2  10.9 999.0 99.0 99.00
2004 11 09 09 356  6.6  8.5 99.00 99.00 99.00 999 1026.3   0.9  10.8 999.0 99.0 99.00
2004 11 09 10 352  3.5  6.9 99.00 99.00 99.00 999 1027.1   0.6   9.5 999.0 99.0 99.00
2004 11 09 11  26  5.4  9.4 99.00 99.00 99.00 999 1027.6   1.0   9.4 999.0 99.0 99.00
2004 11 09 12 356  3.7  6.6 99.00 99.00 99.00 999 1028.6   1.6   9.7 999.0 99.0 99.00
2004 11 09 13 356  4.5  7.5 99.00 99.00 99.00 999 1029.0   2.4   9.5 999.0 99.0 99.00
2004 11 09 14 357  5.8  7.8 99.00 99.00 99.00 999 1029.0   2.7   9.6 999.0 99.0 99.00
2004 11 09 15   7  4.4  9.2 99.00 99.00 99.00 999 1029.2   3.2   9.8 999.0 99.0 99.00
2004 11 09 16  22  5.6  8.4 99.00 99.00 99.00 999 1029.1   3.3   9.6 999.0 99.0 99.00
2004 11 09 17  26  5.5  9.1 99.00 99.00 99.00 999 1028.6   3.4   9.8 999.0 99.0 99.00
2004 11 09 18   2  3.6  7.7 99.00 99.00 99.00 999 1028.5   4.2  10.0 999.0 99.0 99.00
2004 11 09 19  15  5.0  9.0 99.00 99.00 99.00 999 1028.7   4.8  10.1 999.0 99.0 99.00
2004 11 09 20   3  3.8  8.3 99.00 99.00 99.00 999 1029.2   5.1  10.4 999.0 99.0 99.00
2004 11 09 21   2  5.3  8.3 99.00 99.00 99.00 999 1029.7   4.1  10.3 999.0 99.0 99.00
2004 11 09 22 356  5.0  7.4 99.00 99.00 99.00 999 1030.6   3.4   9.9 999.0 99.0 99.00
2004 11 09 23  25  4.4  7.3 99.00 99.00 99.00 999 1031.4   2.9   9.8 999.0 99.0 99.00
2004 11 10 00  18  5.1 10.1 99.00 99.00 99.00 999 1032.3   2.2   9.9 999.0 99.0 99.00
2004 11 10 01  20  6.4 10.2 99.00 99.00 99.00 999 1033.0   1.7   9.8 999.0 99.0 99.00
2004 11 10 02  25  4.9 10.4 99.00 99.00 99.00 999 1033.7   1.2   9.6 999.0 99.0 99.00
2004 11 10 03  35  4.9  9.1 99.00 99.00 99.00 999 1033.8   0.6   9.6 999.0 99.0 99.00
2004 11 10 04  32  5.8 10.1 99.00 99.00 99.00 999 1033.9   0.1   9.6 999.0 99.0 99.00
2004 11 10 05  35  5.2  8.2 99.00 99.00 99.00 999 1034.1  -0.3   9.7 999.0 99.0 99.00
2004 11 10 06  32  4.8  8.0 99.00 99.00 99.00 999 1034.5  -0.6   9.9 999.0 99.0 99.00
2004 11 10 07   7  4.6  7.2 99.00 99.00 99.00 999 1034.8  -0.9   9.8 999.0 99.0 99.00
2004 11 10 08 352  3.5  7.0 99.00 99.00 99.00 999 1035.0  -1.4   9.9 999.0 99.0 99.00
2004 11 10 09 350  4.3  6.4 99.00 99.00 99.00 999 1035.4  -1.4   9.9 999.0 99.0 99.00
2004 11 10 10  28  4.2  6.9 99.00 99.00 99.00 999 1035.5  -1.6   9.8 999.0 99.0 99.00
2004 11 10 11  34  2.7  5.6 99.00 99.00 99.00 999 1035.8  -1.6   8.4 999.0 99.0 99.00
2004 11 10 12  38  3.7  5.1 99.00 99.00 99.00 999 1036.1  -1.1   8.1 999.0 99.0 99.00
2004 11 10 13  32  2.7  5.1 99.00 99.00 99.00 999 1036.9   0.0   8.7 999.0 99.0 99.00
2004 11 10 14   6  3.6  5.8 99.00 99.00 99.00 999 1037.3   1.2   8.8 999.0 99.0 99.00
2004 11 10 15  35  2.3  3.9 99.00 99.00 99.00 999 1037.0   1.1   8.8 999.0 99.0 99.00
2004 11 10 16 358  0.3  4.3 99.00 99.00 99.00 999 1036.8   2.8   8.7 999.0 99.0 99.00
2004 11 10 17 274  1.3  2.6 99.00 99.00 99.00 999 1036.0   4.2   8.9 999.0 99.0 99.00
2004 11 10 18 227  2.3  3.6 99.00 99.00 99.00 999 1035.1   3.4   8.9 999.0 99.0 99.00
2004 11 10 19 194  3.4  5.6 99.00 99.00 99.00 999 1034.3   3.0   9.2 999.0 99.0 99.00
2004 11 10 20 208  4.2  5.6 99.00 99.00 99.00 999 1034.2   3.4  11.0 999.0 99.0 99.00
2004 11 10 21 227  5.5  6.7 99.00 99.00 99.00 999 1033.6   3.6  11.4 999.0 99.0 99.00
2004 11 10 22 261  5.3  8.2 99.00 99.00 99.00 999 1033.5   3.6  10.8 999.0 99.0 99.00
2004 11 10 23 269  3.5  4.9 99.00 99.00 99.00 999 1033.6   3.5  10.9 999.0 99.0 99.00
2004 11 11 00 263  4.4  6.1 99.00 99.00 99.00 999 1033.6   4.2  10.3 999.0 99.0 99.00
2004 11 11 01 258  4.2  6.9 99.00 99.00 99.00 999 1033.5   4.8  10.0 999.0 99.0 99.00
2004 11 11 02 256  6.9  8.9 99.00 99.00 99.00 999 1032.7   6.0   9.9 999.0 99.0 99.00
2004 11 11 03 264  4.2  6.8 99.00 99.00 99.00 999 1032.1   6.2   9.8 999.0 99.0 99.00
2004 11 11 04 248  7.6 10.7 99.00 99.00 99.00 999 1031.2   7.5   9.9 999.0 99.0 99.00
2004 11 11 05 244  8.1 10.9 99.00 99.00 99.00 999 1031.0   7.7  10.0 999.0 99.0 99.00
2004 11 11 06 251  9.0 11.5 99.00 99.00 99.00 999 1030.0   8.2  10.1 999.0 99.0 99.00
2004 11 11 07 253  8.7 11.3 99.00 99.00 99.00 999 1029.7   8.8  10.4 999.0 99.0 99.00
2004 11 11 08 256  9.2 12.9 99.00 99.00 99.00 999 1028.8   9.0  10.3 999.0 99.0 99.00
2004 11 11 09 251  5.2  7.6 99.00 99.00 99.00 999 1028.5   8.8  10.0 999.0 99.0 99.00
2004 11 11 10 257  5.0  8.7 99.00 99.00 99.00 999 1028.0   9.2  10.6 999.0 99.0 99.00
2004 11 11 11 255  7.3  9.4 99.00 99.00 99.00 999 1027.5   9.6  10.3 999.0 99.0 99.00
2004 11 11 12 256  5.9  8.8 99.00 99.00 99.00 999 1027.5   9.7  10.3 999.0 99.0 99.00
2004 11 11 13 246  7.2 10.2 99.00 99.00 99.00 999 1027.6  10.4  10.1 999.0 99.0 99.00
2004 11 11 15 248  9.4 11.7 99.00 99.00 99.00 999 1027.3  11.1  10.7 999.0 99.0 99.00
2004 11 11 16 247  7.5 11.8 99.00 99.00 99.00 999 1026.8  11.2  10.6 999.0 99.0 99.00
2004 11 11 17 250  7.4 11.0 99.00 99.00 99.00 999 1026.0  11.4  10.6 999.0 99.0 99.00
2004 11 11 18 248  6.4  8.4 99.00 99.00 99.00 999 1025.2  11.7  10.8 999.0 99.0 99.00
2004 11 11 19 242  6.4 12.8 99.00 99.00 99.00 999 1024.1  11.7  11.0 999.0 99.0 99.00
2004 11 11 20 248  7.6 11.0 99.00 99.00 99.00 999 1024.2  12.2  10.9 999.0 99.0 99.00
2004 11 11 21 244  7.0 10.5 99.00 99.00 99.00 999 1023.9  11.7  10.9 999.0 99.0 99.00
2004 11 11 22 240  6.9  9.4 99.00 99.00 99.00 999 1024.0  11.6  10.9 999.0 99.0 99.00
2004 11 11 23 254  6.4  8.2 99.00 99.00 99.00 999 1024.6  11.5  11.0 999.0 99.0 99.00
